label_id,pair_id,reviewer_id,shown_swapped,raw_label,rationale,time_ms,rubric_version,labeled_at,source,cluster_id,attention_check_answer
852e1d55-918f-423d-8536-db5861c4674e,ad7990a8-5bd7-441d-bea4-47a4b414a9ef,reviewer-a,f,tie,,9566,v1,2026-05-19 19:19:16.533514+00,shadow_pairs:9ccf3a93-44ad-45e7-8a3b-51cda07ae803,cluster-0,
a1dcf43a-519d-409f-9e9a-166d88810588,81caf6bf-5f0e-4ddd-a79c-1536c7479aa3,reviewer-a,f,tie,,17969,v1,2026-05-19 19:19:34.626354+00,shadow_pairs:e6b46a1b-d48f-4ac9-92f1-5e13a56768d7,cluster-0,
7ddf8c3a-36ca-4088-ae4e-5370f6d65a92,9e9ee9ad-181c-4377-bc9b-eadd04cafaf8,reviewer-a,f,tie,,9254,v1,2026-05-19 19:19:43.969619+00,shadow_pairs:2025d202-299d-458d-bd06-ae6338e51724,cluster-0,
4329754b-2341-4e6f-b689-82f2dd5f0082,973a9ea5-c7a6-42e5-b994-0db8dd260ba1,reviewer-a,f,tie,,9553,v1,2026-05-19 19:19:53.591554+00,shadow_pairs:31a2bd59-1d14-4535-8f31-16c83221510c,cluster-0,
dab4238d-ef3b-4c96-9b88-91f57995c0d3,bd1e3192-b9e7-4acb-af15-5ebd60e92570,reviewer-a,f,tie,,3354,v1,2026-05-19 19:19:57.027991+00,shadow_pairs:91151820-0cb3-4594-9a65-bba00979373b,cluster-0,
9e174ec1-b157-40b6-81e1-2b62d5e978f5,da02a8d5-9024-4362-96fa-a8514effcf72,reviewer-a,t,tie,,25205,v1,2026-05-19 19:20:22.338379+00,shadow_pairs:c3b11d14-3f8e-41d9-9bbb-081b76a5087d,cluster-0,
98954546-c2cb-48a0-a583-f4b34f495876,a574cec3-3a05-4ac2-a725-315a9e22ada5,reviewer-a,t,tie,,11486,v1,2026-05-19 19:20:33.927846+00,shadow_pairs:5a99c9d5-000c-475e-a5af-78e317cabb64,cluster-0,
86dd8806-37fb-4a50-a71d-3c0ade086ee8,91401fb6-9dad-4c2d-a729-ed97327bc228,reviewer-a,t,tie,,14025,v1,2026-05-19 19:20:48.039734+00,shadow_pairs:d9fa691c-f4cd-4489-bfd8-fb3b358524cf,cluster-1,
1a9b3180-5104-4ca1-a6d4-e96eb6ef8c7c,ecec74af-10e7-40c6-bc29-09e69c5576ba,reviewer-a,f,tie,,6646,v1,2026-05-19 19:20:54.799975+00,shadow_pairs:0095575d-12c1-413b-b604-e787d0aa7aae,cluster-3,
e6a7af0d-d1ec-4751-afd2-57477a61aff7,8db82d8e-e548-49ec-9a5b-378d29d53662,reviewer-a,t,tie,,12543,v1,2026-05-19 19:21:07.404384+00,shadow_pairs:36ccf336-10d8-4aab-bbae-d7256a165382,cluster-1,
